3 10 11,"f_10_ NOUN

A pirate or lawless adventurer.
‘Only Sir Francis Drake and other naval __s enjoyed success.’",4/11/2019,freebooter,,,
6 9 10,"VERB

[NO OBJECT]
___ against
Speak or write about (something) with great hostility.
‘he liked to ___ against all forms of academic training’
‘It's Republicans who are __ing against this kind of non-ideological solution.’",4/13/2019,inveigh,,,
10,"t__ NOUN

North American 
archaic 
An inn or public house.
‘They had stopped off at a local ___ for a drink and then called it a night.’
‘The third supervises the ___ and the food and drink being served by her husbands.’",4/12/2019,tavern,,/ˈtav(ə)n/,
,"EXCLAMATION

An exclamation expressing surprise, emphatic confirmation, etc.",4/13/2019,parbleu,,/ˌpɑːˈblʊ/,
5 8 10 11,"NOUN

mass noun
A semi-liquid mixture, typically of fine particles of manure, cement, or coal suspended in water.
‘clay ___’
count noun ‘a ___ of ore and water’",4/10/2019,slurry,,,
10,"VERB

[WITH OBJECT] 
formal 
Attempt or try.
‘Donald __d a smile’
‘George Reid, the Presiding Officer, __d a bit of Gaelic, then introduced the Lewis psalm-singers.’",4/18/2019,essay,,/ɛˈseɪ/,
10,A ___ is a light application of a diluted slow-setting asphalt emulsion to the surface of an aged (oxidized) pavement surface. __s are low-cost and are used to restore flexibility to an existing HMA pavement surface. They may be able to temporarily postpone the need for a surface treatment or non-structural overlay.,4/20/2019,Fog Seals,,,
0 2 7 8 9 10,"PHRASE

Confess fully one's mistakes or wrongdoings.
‘Tell all, ___, say what it is.’
‘More than 10 years on, Jersey has finally __d.’",4/15/2019,make a clean breast of it,,,
11,"___ is a British-founded American multinational corporation headquartered in New York City. One of the world's largest brokers of fine and decorative art, jewelry, real estate, and collectibles, ___ operation is divided into three segments: auction, finance, and dealer.",4/21/2019,Sotheby's,,/ˈsʌðəbiz/,
0 7 10,"r__ NOUN

mass noun
Good-humoured teasing.
‘she was greeted with ___ from her fellow workers’
‘New Australians were treated with wary ___.’",4/16/2019,raillery,,,
,"NOUN

1A fast-growing evergreen Australasian tree that has been widely introduced elsewhere. It is valued for its timber, oil, gum, resin, and as an ornamental tree.
Genus _Caps_, family Myrtaceae: numerous species

Also called gum, gum tree
1.1mass noun The oil from ___ leaves, chiefly used for its medicinal properties.",4/20/2019,eucalyptus,"
(also eucalypt)",,
,"p__ NOUN

1Zoology 
A principal taxonomic category that ranks above class and below kingdom, equivalent to the division in botany.
2Linguistics 
A group of languages related to each other less closely than those forming a family, especially one in which the relationships are unclear.",4/22/2019,phylum,,,
3 4,"NOUN

mass noun
The fact or condition of being involved with others in an activity that is unlawful or morally wrong.
‘they were accused of ___ in the attempt to overthrow the government’",4/17/2019,complicity,,,
,"___ includes the many different types of mixtures of aggregate and asphalt cement that are produced at an elevated temperature in an asphalt plant. ___ is typically delivered to a job site in dump trucks, at a temperature of 300-315°F. It is spread and leveled using an asphalt paver. If an area is too small for machine paving, the _＊_ is spread by hand. The material is compacted with vibratory rollers, vibratory plates, and hand tampers before cooling to a temperature of 175°F.",4/23/2019,Hot-Mix Asphalt pavement,＊HMA,,
,"NOUN

A two-masted sailing ship with a square-rigged foremast and a mainmast rigged fore and aft.
‘He pointed toward a sleek two-masted ___ anchored at the end of the long sloping street.’",4/24/2019,brigantine,,,
,"VERB

[WITH OBJECT]
humorous 
Fail to impress or make a positive impact on (someone); disappoint.
‘American voters seem __d by the choices for president’
‘It had been a year since the last time I ventured in, however, and when I ate here last month, I must confess I was __d by the experience.’",4/25/2019,underwhelm,,,
,"NOUN

mass noun
1Short, fine fibres which separate from the surface of cloth or yarn during processing.
‘some fabrics leave tiny specks of ___ on the glass’
1.1Scottish Flax fibres prepared for spinning.
1.2 The fibrous material of a cotton boll.
2A fabric, originally of linen, with a raised nap on one side, used for dressing wounds.
‘he smeared ointment on a strip of ___’",4/26/2019,lint,,,
9,"NOUN

The passage by which food passes from the mouth to the stomach; the oesophagus.
‘The reason for heartburn is a malfunction in the valve-like mechanism found at the junction of the ___ and the stomach.’",4/28/2019,gullet,,,
,"t__ VERB

[NO OBJECT]
___ with
Interfere with (something) in order to cause damage or make unauthorized alterations.
‘someone __d with the brakes of my car’
NOUN

A machine or tool for _*_ing down earth or ballast.
‘Its hydraulic PTO can manage breakers, __s, drills, and saws.’",4/27/2019,tamper,*tamp,,
8,"NOUN

1An entrance hall or other open area in a building used by the public, especially a hotel or theatre.
‘the ___ of the concert hall’
1.1North American An entrance hall in a house or flat.
‘She noticed the ___ light was on as she approached her house and panic fled through her.’",5/1/2019,foyer,,,
,"ABBREVIATION

1British ___ (written at the foot of a page to indicate that the text continues on the reverse).
2(in a tractor or other vehicle) ___.
‘The third resolution is to vow never to operate a tractor with an uncovered ___ shaft.’",5/2/2019,PTO, 1 Please turn over 2 power take-off,,
0 8 9 11,"j__ NOUN
1Sailing 
A triangular staysail set forward of the mast.
2The projecting arm of a crane.
VERB
[NO OBJECT]
1(of an animal, especially a horse) stop and refuse to go on.
‘he __d at the final fence’
1.1 (of a person) be unwilling to do or accept something.
‘he __s at paying large bills’",5/4/2019,jib,,,
7,"l__ ADJECTIVE

1Full of or covered with _n_s.
‘he lay on the ___ mattress’ 
1.1Nautical (of water) formed by the wind into small waves.
‘there's a ___ sea running’",4/29/2019,lumpy,n lump,,
,"NOUN 1 A whirring sound, such as a telephone ringing tone or the sound of cogs turning.1.1 A rough pronunciation of the letter r, especially with a uvular trill as in a Northumberland accent. 
2A rough edge or ridge left on an object (especially of metal) by the action of a tool or machine.3 A small rotary cutting tool with a shaped end, used chiefly in woodworking and dentistry.  4 mass noun A siliceous rock used for millstones. 5A prickly seed case or flower head that clings to clothing and animal fur. ",5/3/2019,burr,,,
10,"NOUN

1British A bed consisting of a base and mattress but no footboard or headboard.
2A long, low sofa without a back or arms.
3historical A legislative body, council chamber, or court of justice in the Ottoman Empire or elsewhere in the Middle East.",5/5/2019,divan,,,
